gene_id,gene_type,gene_short_name,merged_logit_coeff
ENSMUSG00000056755.13,protein_coding,Grm7,4.510517459201177
ENSMUSG00000030077.11,protein_coding,Chl1,4.2848370117701435
ENSMUSG00000052305.6,protein_coding,Hbb-bs,4.006918610438838
ENSMUSG00000022762.17,protein_coding,Ncam2,3.9483940019383907
ENSMUSG00000001911.16,protein_coding,Nfix,3.9003461907323436
ENSMUSG00000052372.10,protein_coding,Il1rapl1,3.8781659170209997
ENSMUSG00000060924.15,protein_coding,Csmd1,3.407150903475883
ENSMUSG00000059742.10,protein_coding,Kcnh7,3.281363837483986
ENSMUSG00000038665.15,protein_coding,Dgki,2.874507721890618
ENSMUSG00000024544.8,protein_coding,Ldlrad4,2.8145437092196683
ENSMUSG00000036815.16,protein_coding,Dpp10,2.750280366691114
ENSMUSG00000063142.14,protein_coding,Kcnma1,2.6987045820615703
ENSMUSG00000051777.6,protein_coding,Iqcj,2.5058597490207206
ENSMUSG00000051920.6,protein_coding,Rspo2,2.487445028462708
ENSMUSG00000064115.13,protein_coding,Cadm2,2.458108337926992
ENSMUSG00000022306.8,protein_coding,Zfpm2,2.4313210909772502
ENSMUSG00000053007.9,protein_coding,9430076C15Rik,2.3425820987823567
ENSMUSG00000060882.5,protein_coding,Kcnd2,2.2502765483745564
ENSMUSG00000060429.11,protein_coding,Sntb1,2.194842940824749
ENSMUSG00000073940.3,protein_coding,Hbb-bt,2.166605048771426
ENSMUSG00000027777.15,protein_coding,Schip1,2.158300587469972
ENSMUSG00000026249.10,protein_coding,Serpine2,2.1140247735722424
ENSMUSG00000033083.16,protein_coding,Tbc1d4,2.0761607155206403
ENSMUSG00000037624.15,protein_coding,Kcnk2,2.072165153623045
ENSMUSG00000040118.15,protein_coding,Cacna2d1,2.0584125367209785
ENSMUSG00000044770.14,protein_coding,Scml4,2.0178098669113558
ENSMUSG00000022206.6,protein_coding,Npr3,1.9763195557865862
ENSMUSG00000031841.19,protein_coding,Cdh13,1.9258707480224473
ENSMUSG00000056752.16,protein_coding,Dnah9,1.8891882361404932
ENSMUSG00000005338.13,protein_coding,Cadm3,1.8760058187214428
ENSMUSG00000029212.11,protein_coding,Gabrb1,1.8719858027025758
ENSMUSG00000030043.11,protein_coding,Tacr1,1.8656522971308815
ENSMUSG00000037990.18,protein_coding,Sh3rf3,1.8622785726380142
ENSMUSG00000026676.7,protein_coding,Ccdc3,1.8557085201948809
ENSMUSG00000052516.17,protein_coding,Robo2,1.821651399936127
ENSMUSG00000017978.18,protein_coding,Cadps2,1.8107966446057067
ENSMUSG00000032816.15,protein_coding,Igdcc4,1.7161527230424545
ENSMUSG00000021536.7,protein_coding,Adcy2,1.715838003040043
ENSMUSG00000039410.16,protein_coding,Prdm16,1.708601394939476
ENSMUSG00000000794.9,protein_coding,Kcnn3,1.7012980818099954
ENSMUSG00000027692.16,protein_coding,Tnik,1.6980310273573944
ENSMUSG00000027695.16,protein_coding,Pld1,1.6873967906415297
ENSMUSG00000032656.14,protein_coding,March3,1.6565434327599928
ENSMUSG00000020627.9,protein_coding,Klhl29,1.644351449338974
